Date,Ticker,Open,High,Low,Close,Volume
03/22/2017,VOO,214.58,215.34,213.95,215.02,"2,600,312"
03/21/2017,VOO,219,219.13,215.41,215.58,"3,468,676"
03/20/2017,VOO,218.59,218.89,217.98,218.33,"1,035,933"
03/17/2017,VOO,219.3,219.44,218.56,218.56,"1,588,569"
03/16/2017,VOO,219.61,219.65,218.65,219,"1,710,910"
03/15/2017,VOO,218.13,219.85,217.87,219.37,"3,358,849"
03/14/2017,VOO,217.77,217.81,216.89,217.56,"1,428,401"
03/13/2017,VOO,218.18,218.41,217.86,218.3,"1,388,168"
03/10/2017,VOO,218.55,218.56,217.26,218.17,"1,819,935"
03/09/2017,VOO,217.33,217.84,216.46,217.41,"1,636,234"
03/08/2017,VOO,217.95,218.2,217.07,217.18,"1,784,358"
03/07/2017,VOO,217.98,218.33,217.42,217.64,"1,743,154"
03/06/2017,VOO,218.07,218.65,217.63,218.3,"1,530,991"
03/03/2017,VOO,218.7,219.09,218.31,218.98,"1,765,867"
03/02/2017,VOO,219.99,220.02,218.75,218.86,"1,657,102"
03/01/2017,VOO,218.9,220.66,218.87,220.15,"3,325,472"
02/28/2017,VOO,217.34,217.58,216.72,217.07,"2,181,041"
02/27/2017,VOO,217.32,217.9,217.02,217.71,"1,942,241"
02/24/2017,VOO,216.22,217.42,216.16,217.39,"1,637,987"
02/23/2017,VOO,217.54,217.54,216.3,217.13,"1,717,171"
02/22/2017,VOO,216.72,217.19,216.55,217.01,"1,471,519"
02/21/2017,VOO,216.32,217.32,216.25,217.11,"1,893,172"
02/17/2017,VOO,214.84,215.84,214.79,215.84,"1,452,593"
02/16/2017,VOO,215.74,215.9,214.73,215.51,"1,920,430"
02/15/2017,VOO,214.34,215.89,214.31,215.68,"2,050,241"
02/14/2017,VOO,213.55,214.59,213.16,214.59,"2,528,144"
02/13/2017,VOO,213.11,214,213.07,213.7,"1,756,259"
02/10/2017,VOO,212.13,212.8,212.01,212.57,"1,412,364"
02/09/2017,VOO,210.78,212.04,210.74,211.72,"1,237,378"
02/08/2017,VOO,209.89,210.61,209.63,210.52,"1,096,151"
02/07/2017,VOO,210.65,210.84,209.99,210.25,"1,194,607"
02/06/2017,VOO,210.12,210.54,209.84,210.2,"1,345,575"
02/03/2017,VOO,210.08,210.73,209.77,210.64,"4,264,496"
02/02/2017,VOO,208.59,209.4,208.23,209.09,"1,661,322"
02/01/2017,VOO,209.62,209.86,208.37,209,"2,698,826"
01/31/2017,VOO,208.34,208.97,207.79,208.97,"3,787,144"
01/30/2017,VOO,209.48,209.52,207.88,208.98,"2,782,355"
01/27/2017,VOO,210.65,210.76,210.03,210.25,"1,428,164"
01/26/2017,VOO,210.65,210.9,210.25,210.55,"2,485,086"
01/25/2017,VOO,209.98,210.77,209.79,210.71,"2,872,970"
01/24/2017,VOO,207.86,209.4,207.75,208.97,"1,940,125"
01/23/2017,VOO,207.84,208.21,206.83,207.65,"4,586,616"
01/20/2017,VOO,208.14,208.7,207.56,208.13,"2,082,660"
01/19/2017,VOO,208.27,208.43,206.97,207.46,"1,666,905"
01/18/2017,VOO,208.01,208.22,207.42,208.16,"1,980,477"
01/17/2017,VOO,207.79,208.21,207.33,207.72,"1,690,053"
01/13/2017,VOO,208.18,208.78,208.13,208.46,"2,822,744"
01/12/2017,VOO,207.97,208.19,206.54,208.05,"3,244,560"
01/11/2017,VOO,207.84,208.51,207.12,208.51,"5,678,042"
01/10/2017,VOO,207.9,208.82,207.51,207.92,"2,189,422"
01/09/2017,VOO,208.34,208.48,207.89,207.95,"1,705,181"
01/06/2017,VOO,207.99,209.09,207.4,208.61,"2,194,576"
01/05/2017,VOO,207.75,208.04,207.01,207.8,"2,772,065"
01/04/2017,VOO,207.2,208.18,207.12,207.96,"4,622,614"
01/03/2017,VOO,206.68,207.33,205.56,206.74,"4,750,181"
12/30/2016,VOO,206.37,206.43,204.51,205.31,"4,251,400"
12/29/2016,VOO,206.1,206.47,205.51,206.02,"1,773,088"
12/28/2016,VOO,208,208.07,205.91,206.06,"2,227,976"
12/27/2016,VOO,207.48,208.15,207.48,207.7,"1,818,503"
12/23/2016,VOO,206.98,207.22,206.77,207.19,"1,279,241"
12/22/2016,VOO,207.16,207.24,206.5,207.01,"1,863,775"
12/21/2016,VOO,209.06,209.2,208.57,208.57,"1,546,569"
12/20/2016,VOO,208.92,209.31,208.68,209.14,"3,195,261"
12/19/2016,VOO,208.1,208.8,207.93,208.34,"2,041,965"
12/16/2016,VOO,208.82,208.84,207.55,207.87,"3,073,985"
12/15/2016,VOO,207.72,209.23,207.58,208.23,"2,812,515"
12/14/2016,VOO,208.84,209.59,206.98,207.46,"4,232,922"
12/13/2016,VOO,208.53,209.7,208.47,209.19,"2,670,195"
12/12/2016,VOO,207.92,208.42,207.34,207.77,"2,419,559"
12/09/2016,VOO,207.02,208.03,206.98,208,"1,972,005"
12/08/2016,VOO,206.25,207.27,205.95,206.74,"2,983,048"
12/07/2016,VOO,203.45,206.32,203.3,206.2,"2,253,885"
12/06/2016,VOO,203.17,203.63,202.64,203.62,"2,413,335"
12/05/2016,VOO,202.64,203.3,202.42,202.91,"2,070,921"
12/02/2016,VOO,201.7,202.23,201.35,201.75,"2,119,086"
12/01/2016,VOO,202.68,202.71,201.24,201.61,"3,284,087"
11/30/2016,VOO,203.53,203.69,202.31,202.4,"2,360,118"
11/29/2016,VOO,202.51,203.35,202.17,202.86,"1,689,610"
11/28/2016,VOO,203.07,203.37,202.35,202.54,"2,193,035"
11/25/2016,VOO,203.08,203.5,202.96,203.5,"1,843,091"
11/23/2016,VOO,202.14,202.71,201.77,202.69,"1,466,301"
11/22/2016,VOO,202.51,202.73,201.77,202.51,"2,773,430"
11/21/2016,VOO,201.25,202.18,201.11,202.14,"2,641,345"
11/18/2016,VOO,201.16,201.32,200.44,200.66,"1,668,283"
11/17/2016,VOO,200.21,201.13,200.12,201.02,"1,178,183"
11/16/2016,VOO,199.78,200.29,199.65,200.07,"1,195,176"
11/15/2016,VOO,199.29,200.42,199.07,200.41,"2,532,449"
11/14/2016,VOO,199.3,199.49,198.06,198.8,"2,651,298"
11/11/2016,VOO,198.42,198.96,197.7,198.77,"1,954,176"
11/10/2016,VOO,199.53,200.44,197.61,199.14,"5,126,353"
11/09/2016,VOO,194.94,199.34,194.92,198.68,"6,119,111"
11/08/2016,VOO,195.31,197.18,195.02,196.58,"3,055,904"
11/07/2016,VOO,194.17,195.74,194.01,195.68,"2,699,111"
11/04/2016,VOO,191.8,192.71,191.32,191.48,"2,221,546"
11/03/2016,VOO,192.79,193,191.39,191.74,"1,512,171"
11/02/2016,VOO,193.42,193.81,192.1,192.49,"3,395,857"
11/01/2016,VOO,195.52,195.54,192.45,193.77,"2,456,610"
10/31/2016,VOO,195.49,195.74,194.98,195.13,"1,816,259"
10/28/2016,VOO,195.71,196.4,194.4,195.13,"2,632,032"
10/27/2016,VOO,197.04,197.07,195.65,195.75,"1,635,461"
10/26/2016,VOO,195.76,196.86,195.53,196.27,"1,202,326"
10/25/2016,VOO,197.13,197.39,196.48,196.71,"1,465,279"
10/24/2016,VOO,197.37,197.65,196.95,197.27,"816,971"
10/21/2016,VOO,195.54,196.57,195.38,196.47,"1,376,361"
10/20/2016,VOO,196.37,196.97,195.7,196.42,"1,309,798"
10/19/2016,VOO,196.49,197.08,196.13,196.74,"1,041,362"
10/18/2016,VOO,196.7,196.76,195.82,196.2,"1,263,381"
